Personnes et corps	🫰🏿	hand with index finger and thumb crossed: dark skin tone
Personnes et corps	🤟	love-you gesture
Personnes et corps	🤟🏻	love-you gesture: light skin tone
Personnes et corps	🤟🏼	love-you gesture: medium-light skin tone
Personnes et corps	🤟🏽	love-you gesture: medium skin tone
Personnes et corps	🤟🏾	love-you gesture: medium-dark skin tone
Personnes et corps	🤟🏿	love-you gesture: dark skin tone
Personnes et corps	🤘	sign of the horns
Personnes et corps	🤘🏻	sign of the horns: light skin tone
Personnes et corps	🤘🏼	sign of the horns: medium-light skin tone
Personnes et corps	🤘🏽	sign of the horns: medium skin tone
Personnes et corps	🤘🏾	sign of the horns: medium-dark skin tone
Personnes et corps	🤘🏿	sign of the horns: dark skin tone
Personnes et corps	🤙	call me hand
Personnes et corps	🤙🏻	call me hand: light skin tone
Personnes et corps	🤙🏼	call me hand: medium-light skin tone
Personnes et corps	🤙🏽	call me hand: medium skin tone
Personnes et corps	🤙🏾	call me hand: medium-dark skin tone
Personnes et corps	🤙🏿	call me hand: dark skin tone
Personnes et corps	👈	backhand index pointing left
Personnes et corps	👈🏻	backhand index pointing left: light skin tone
Personnes et corps	👈🏼	backhand index pointing left: medium-light skin tone
Personnes et corps	👈🏽	backhand index pointing left: medium skin tone
Personnes et corps	👈🏾	backhand index pointing left: medium-dark skin tone
Personnes et corps	👈🏿	backhand index pointing left: dark skin tone
Personnes et corps	👉	backhand index pointing right
Personnes et corps	👉🏻	backhand index pointing right: light skin tone
Personnes et corps	👉🏼	backhand index pointing right: medium-light skin tone
Personnes et corps	👉🏽	backhand index pointing right: medium skin tone
Personnes et corps	👉🏾	backhand index pointing right: medium-dark skin tone
Personnes et corps	👉🏿	backhand index pointing right: dark skin tone
Personnes et corps	👆	backhand index pointing up
Personnes et corps	👆🏻	backhand index pointing up: light skin tone
Personnes et corps	👆🏼	backhand index pointing up: medium-light skin tone
Personnes et corps	👆🏽	backhand index pointing up: medium skin tone
Personnes et corps	👆🏾	backhand index pointing up: medium-dark skin tone
Personnes et corps	👆🏿	backhand index pointing up: dark skin tone
Personnes et corps	🖕	middle finger
Personnes et corps	🖕🏻	middle finger: light skin tone
Personnes et corps	🖕🏼	middle finger: medium-light skin tone
Personnes et corps	🖕🏽	middle finger: medium skin tone
Personnes et corps	🖕🏾	middle finger: medium-dark skin tone
Personnes et corps	🖕🏿	middle finger: dark skin tone
Personnes et corps	👇	backhand index pointing down
Personnes et corps	👇🏻	backhand index pointing down: light skin tone
Personnes et corps	👇🏼	backhand index pointing down: medium-light skin tone
Personnes et corps	👇🏽	backhand index pointing down: medium skin tone
Personnes et corps	👇🏾	backhand index pointing down: medium-dark skin tone
Personnes et corps	👇🏿	backhand index pointing down: dark skin tone
Personnes et corps	☝️	index pointing up
Personnes et corps	☝🏻	index pointing up: light skin tone
Personnes et corps	☝🏼	index pointing up: medium-light skin tone
Personnes et corps	☝🏽	index pointing up: medium skin tone
Personnes et corps	☝🏾	index pointing up: medium-dark skin tone
Personnes et corps	☝🏿	index pointing up: dark skin tone
Personnes et corps	🫵	index pointing at the viewer
Personnes et corps	🫵🏻	index pointing at the viewer: light skin tone
Personnes et corps	🫵🏼	index pointing at the viewer: medium-light skin tone
Personnes et corps	🫵🏽	index pointing at the viewer: medium skin tone
Personnes et corps	🫵🏾	index pointing at the viewer: medium-dark skin tone
Personnes et corps	🫵🏿	index pointing at the viewer: dark skin tone
Personnes et corps	👍	thumbs up
Personnes et corps	👍🏻	thumbs up: light skin tone
Personnes et corps	👍🏼	thumbs up: medium-light skin tone
Personnes et corps	👍🏽	thumbs up: medium skin tone
Personnes et corps	👍🏾	thumbs up: medium-dark skin tone
Personnes et corps	👍🏿	thumbs up: dark skin tone
Personnes et corps	👎	thumbs down
Personnes et corps	👎🏻	thumbs down: light skin tone
Personnes et corps	👎🏼	thumbs down: medium-light skin tone
Personnes et corps	👎🏽	thumbs down: medium skin tone
Personnes et corps	👎🏾	thumbs down: medium-dark skin tone
Personnes et corps	👎🏿	thumbs down: dark skin tone
Personnes et corps	✊	raised fist
Personnes et corps	✊🏻	raised fist: light skin tone
Personnes et corps	✊🏼	raised fist: medium-light skin tone
Personnes et corps	✊🏽	raised fist: medium skin tone
Personnes et corps	✊🏾	raised fist: medium-dark skin tone
Personnes et corps	✊🏿	raised fist: dark skin tone
Personnes et corps	👊	oncoming fist
Personnes et corps	👊🏻	oncoming fist: light skin tone
Personnes et corps	👊🏼	oncoming fist: medium-light skin tone
Personnes et corps	👊🏽	oncoming fist: medium skin tone
Personnes et corps	👊🏾	oncoming fist: medium-dark skin tone
Personnes et corps	👊🏿	oncoming fist: dark skin tone
Personnes et corps	🤛	left-facing fist
Personnes et corps	🤛🏻	left-facing fist: light skin tone
Personnes et corps	🤛🏼	left-facing fist: medium-light skin tone
Personnes et corps	🤛🏽	left-facing fist: medium skin tone
Personnes et corps	🤛🏾	left-facing fist: medium-dark skin tone
Personnes et corps	🤛🏿	left-facing fist: dark skin tone
Personnes et corps	🤜	right-facing fist
Personnes et corps	🤜🏻	right-facing fist: light skin tone
Personnes et corps	🤜🏼	right-facing fist: medium-light skin tone
Personnes et corps	🤜🏽	right-facing fist: medium skin tone
Personnes et corps	🤜🏾	right-facing fist: medium-dark skin tone
Personnes et corps	🤜🏿	right-facing fist: dark skin tone
Personnes et corps	👏	clapping hands
Personnes et corps	👏🏻	clapping hands: light skin tone
Personnes et corps	👏🏼	clapping hands: medium-light skin tone
Personnes et corps	👏🏽	clapping hands: medium skin tone
Personnes et corps	👏🏾	clapping hands: medium-dark skin tone
Personnes et corps	👏🏿	clapping hands: dark skin tone
Personnes et corps	🙌	raising hands
Personnes et corps	🙌🏻	raising hands: light skin tone
Personnes et corps	🙌🏼	raising hands: medium-light skin tone
Personnes et corps	🙌🏽	raising hands: medium skin tone
Personnes et corps	🙌🏾	raising hands: medium-dark skin tone
Personnes et corps	🙌🏿	raising hands: dark skin tone
Personnes et corps	🫶	heart hands
Personnes et corps	🫶🏻	heart hands: light skin tone
Personnes et corps	🫶🏼	heart hands: medium-light skin tone
Personnes et corps	🫶🏽	heart hands: medium skin tone
Personnes et corps	🫶🏾	heart hands: medium-dark skin tone
Personnes et corps	🫶🏿	heart hands: dark skin tone
Personnes et corps	👐	open hands
Personnes et corps	👐🏻	open hands: light skin tone
Personnes et corps	👐🏼	open hands: medium-light skin tone
Personnes et corps	👐🏽	open hands: medium skin tone
Personnes et corps	👐🏾	open hands: medium-dark skin tone
Personnes et corps	👐🏿	open hands: dark skin tone
Personnes et corps	🤲	palms up together
Personnes et corps	🤲🏻	palms up together: light skin tone
Personnes et corps	🤲🏼	palms up together: medium-light skin tone
Personnes et corps	🤲🏽	palms up together: medium skin tone
Personnes et corps	🤲🏾	palms up together: medium-dark skin tone
Personnes et corps	🤲🏿	palms up together: dark skin tone
Personnes et corps	🤝	handshake
Personnes et corps	🤝🏻	handshake: light skin tone
Personnes et corps	🤝🏼	handshake: medium-light skin tone
Personnes et corps	🤝🏽	handshake: medium skin tone
Personnes et corps	🤝🏾	handshake: medium-dark skin tone
Personnes et corps	🤝🏿	handshake: dark skin tone
Personnes et corps	🫱🏻‍🫲🏼	handshake: light skin tone, medium-light skin tone
Personnes et corps	🫱🏻‍🫲🏽	handshake: light skin tone, medium skin tone
Personnes et corps	🫱🏻‍🫲🏾	handshake: light skin tone, medium-dark skin tone
Personnes et corps	🫱🏻‍🫲🏿	handshake: light skin tone, dark skin tone
Personnes et corps	🫱🏼‍🫲🏻	handshake: medium-light skin tone, light skin tone
Personnes et corps	🫱🏼‍🫲🏽	handshake: medium-light skin tone, medium skin tone
Personnes et corps	🫱🏼‍🫲🏾	handshake: medium-light skin tone, medium-dark skin tone
Personnes et corps	🫱🏼‍🫲🏿	handshake: medium-light skin tone, dark skin tone
Personnes et corps	🫱🏽‍🫲🏻	handshake: medium skin tone, light skin tone
Personnes et corps	🫱🏽‍🫲🏼	handshake: medium skin tone, medium-light skin tone
Personnes et corps	🫱🏽‍🫲🏾	handshake: medium skin tone, medium-dark skin tone
Personnes et corps	🫱🏽‍🫲🏿	handshake: medium skin tone, dark skin tone
Personnes et corps	🫱🏾‍🫲🏻	handshake: medium-dark skin tone, light skin tone
Personnes et corps	🫱🏾‍🫲🏼	handshake: medium-dark skin tone, medium-light skin tone
Personnes et corps	🫱🏾‍🫲🏽	handshake: medium-dark skin tone, medium skin tone
Personnes et corps	🫱🏾‍🫲🏿	handshake: medium-dark skin tone, dark skin tone
Personnes et corps	🫱🏿‍🫲🏻	handshake: dark skin tone, light skin tone
Personnes et corps	🫱🏿‍🫲🏼	handshake: dark skin tone, medium-light skin tone
Personnes et corps	🫱🏿‍🫲🏽	handshake: dark skin tone, medium skin tone
Personnes et corps	🫱🏿‍🫲🏾	handshake: dark skin tone, medium-dark skin tone
Personnes et corps	🙏	folded hands
Personnes et corps	🙏🏻	folded hands: light skin tone
Personnes et corps	🙏🏼	folded hands: medium-light skin tone
Personnes et corps	🙏🏽	folded hands: medium skin tone
Personnes et corps	🙏🏾	folded hands: medium-dark skin tone
Personnes et corps	🙏🏿	folded hands: dark skin tone
Personnes et corps	✍️	writing hand
Personnes et corps	✍🏻	writing hand: light skin tone
Personnes et corps	✍🏼	writing hand: medium-light skin tone
Personnes et corps	✍🏽	writing hand: medium skin tone
Personnes et corps	✍🏾	writing hand: medium-dark skin tone
Personnes et corps	✍🏿	writing hand: dark skin tone
Personnes et corps	💅	nail polish
Personnes et corps	💅🏻	nail polish: light skin tone
Personnes et corps	💅🏼	nail polish: medium-light skin tone
Personnes et corps	💅🏽	nail polish: medium skin tone
Personnes et corps	💅🏾	nail polish: medium-dark skin tone
Personnes et corps	💅🏿	nail polish: dark skin tone
Personnes et corps	🤳	selfie
Personnes et corps	🤳🏻	selfie: light skin tone
Personnes et corps	🤳🏼	selfie: medium-light skin tone
Personnes et corps	🤳🏽	selfie: medium skin tone
Personnes et corps	🤳🏾	selfie: medium-dark skin tone
Personnes et corps	🤳🏿	selfie: dark skin tone
Personnes et corps	💪	flexed biceps
Personnes et corps	💪🏻	flexed biceps: light skin tone
Personnes et corps	💪🏼	flexed biceps: medium-light skin tone
Personnes et corps	💪🏽	flexed biceps: medium skin tone
Personnes et corps	💪🏾	flexed biceps: medium-dark skin tone
Personnes et corps	💪🏿	flexed biceps: dark skin tone
Personnes et corps	🦾	mechanical arm
Personnes et corps	🦿	mechanical leg
Personnes et corps	🦵	leg
Personnes et corps	🦵🏻	leg: light skin tone
Personnes et corps	🦵🏼	leg: medium-light skin tone
Personnes et corps	🦵🏽	leg: medium skin tone
Personnes et corps	🦵🏾	leg: medium-dark skin tone
Personnes et corps	🦵🏿	leg: dark skin tone
Personnes et corps	🦶	foot
Personnes et corps	🦶🏻	foot: light skin tone
Personnes et corps	🦶🏼	foot: medium-light skin tone
Personnes et corps	🦶🏽	foot: medium skin tone
Personnes et corps	🦶🏾	foot: medium-dark skin tone
Personnes et corps	🦶🏿	foot: dark skin tone
Personnes et corps	👂	ear
Personnes et corps	👂🏻	ear: light skin tone
Personnes et corps	👂🏼	ear: medium-light skin tone
Personnes et corps	👂🏽	ear: medium skin tone
Personnes et corps	👂🏾	ear: medium-dark skin tone
Personnes et corps	👂🏿	ear: dark skin tone
Personnes et corps	🦻	ear with hearing aid
Personnes et corps	🦻🏻	ear with hearing aid: light skin tone
Personnes et corps	🦻🏼	ear with hearing aid: medium-light skin tone
Personnes et corps	🦻🏽	ear with hearing aid: medium skin tone
Personnes et corps	🦻🏾	ear with hearing aid: medium-dark skin tone
Personnes et corps	🦻🏿	ear with hearing aid: dark skin tone
Personnes et corps	👃	nose
Personnes et corps	👃🏻	nose: light skin tone
Personnes et corps	👃🏼	nose: medium-light skin tone
Personnes et corps	👃🏽	nose: medium skin tone
Personnes et corps	👃🏾	nose: medium-dark skin tone
Personnes et corps	👃🏿	nose: dark skin tone
Personnes et corps	🧠	brain
Personnes et corps	🫀	anatomical heart
Personnes et corps	🫁	lungs
Personnes et corps	🦷	tooth
Personnes et corps	🦴	bone
Personnes et corps	👀	eyes
Personnes et corps	👁️	eye
Personnes et corps	👅	tongue
Personnes et corps	👄	mouth
Personnes et corps	🫦	biting lip
Personnes et corps	👶	baby
Personnes et corps	👶🏻	baby: light skin tone
Personnes et corps	👶🏼	baby: medium-light skin tone
Personnes et corps	👶🏽	baby: medium skin tone
Personnes et corps	👶🏾	baby: medium-dark skin tone
Personnes et corps	👶🏿	baby: dark skin tone
Personnes et corps	🧒	child
Personnes et corps	🧒🏻	child: light skin tone
Personnes et corps	🧒🏼	child: medium-light skin tone
Personnes et corps	🧒🏽	child: medium skin tone
Personnes et corps	🧒🏾	child: medium-dark skin tone
Personnes et corps	🧒🏿	child: dark skin tone
Personnes et corps	👦	boy
Personnes et corps	👦🏻	boy: light skin tone
Personnes et corps	👦🏼	boy: medium-light skin tone
Personnes et corps	👦🏽	boy: medium skin tone
Personnes et corps	👦🏾	boy: medium-dark skin tone
Personnes et corps	👦🏿	boy: dark skin tone
Personnes et corps	👧	girl
Personnes et corps	👧🏻	girl: light skin tone
Personnes et corps	👧🏼	girl: medium-light skin tone
Personnes et corps	👧🏽	girl: medium skin tone
Personnes et corps	👧🏾	girl: medium-dark skin tone
Personnes et corps	👧🏿	girl: dark skin tone
Personnes et corps	🧑	person
Personnes et corps	🧑🏻	person: light skin tone
Personnes et corps	🧑🏼	person: medium-light skin tone
Personnes et corps	🧑🏽	person: medium skin tone
Personnes et corps	🧑🏾	person: medium-dark skin tone
Personnes et corps	🧑🏿	person: dark skin tone
Personnes et corps	👱	person: blond hair
Personnes et corps	👱🏻	person: light skin tone, blond hair
Personnes et corps	👱🏼	person: medium-light skin tone, blond hair
Personnes et corps	👱🏽	person: medium skin tone, blond hair
Personnes et corps	👱🏾	person: medium-dark skin tone, blond hair
Personnes et corps	👱🏿	person: dark skin tone, blond hair
Personnes et corps	👨	man
Personnes et corps	👨🏻	man: light skin tone
Personnes et corps	👨🏼	man: medium-light skin tone
Personnes et corps	👨🏽	man: medium skin tone
Personnes et corps	👨🏾	man: medium-dark skin tone
Personnes et corps	👨🏿	man: dark skin tone
Personnes et corps	🧔	person: beard
Personnes et corps	🧔🏻	person: light skin tone, beard
Personnes et corps	🧔🏼	person: medium-light skin tone, beard
Personnes et corps	🧔🏽	person: medium skin tone, beard
Personnes et corps	🧔🏾	person: medium-dark skin tone, beard
Personnes et corps	🧔🏿	person: dark skin tone, beard
Personnes et corps	🧔‍♂️	man: beard
Personnes et corps	🧔🏻‍♂️	man: light skin tone, beard
Personnes et corps	🧔🏼‍♂️	man: medium-light skin tone, beard
Personnes et corps	🧔🏽‍♂️	man: medium skin tone, beard
Personnes et corps	🧔🏾‍♂️	man: medium-dark skin tone, beard
Personnes et corps	🧔🏿‍♂️	man: dark skin tone, beard
Personnes et corps	🧔‍♀️	woman: beard
Personnes et corps	🧔🏻‍♀️	woman: light skin tone, beard
Personnes et corps	🧔🏼‍♀️	woman: medium-light skin tone, beard
Personnes et corps	🧔🏽‍♀️	woman: medium skin tone, beard
Personnes et corps	🧔🏾‍♀️	woman: medium-dark skin tone, beard
Personnes et corps	🧔🏿‍♀️	woman: dark skin tone, beard
Personnes et corps	👨‍🦰	man: red hair
Personnes et corps	👨🏻‍🦰	man: light skin tone, red hair
Personnes et corps	👨🏼‍🦰	man: medium-light skin tone, red hair
Personnes et corps	👨🏽‍🦰	man: medium skin tone, red hair
Personnes et corps	👨🏾‍🦰	man: medium-dark skin tone, red hair
Personnes et corps	👨🏿‍🦰	man: dark skin tone, red hair
Personnes et corps	👨‍🦱	man: curly hair
Personnes et corps	👨🏻‍🦱	man: light skin tone, curly hair
Personnes et corps	👨🏼‍🦱	man: medium-light skin tone, curly hair
Personnes et corps	👨🏽‍🦱	man: medium skin tone, curly hair
Personnes et corps	👨🏾‍🦱	man: medium-dark skin tone, curly hair
